代號,簡稱,日期,序號,主旨,Unnamed: 5
3701,大眾控,112/07/18,1,公告本公司112年現金增資認股基準日 暨轉換公司債停止轉換期間(補充公告代收及存儲銀行),
6414,樺漢,112/07/17,4,公告本公司各次轉換公司債之轉換價格調整,
9958,世紀鋼,112/07/17,4,公告本公司發行國內第五次無擔保轉換公司債募集完成,
3711,日月光投控,112/07/14,1,代子公司環誠科技有限公司公告處分環旭電子股份有限公司 無擔保可轉換公司債券,
4958,臻鼎-KY,112/07/14,1,公告本公司將於112年8月15日提前贖回海外第三次無擔保 轉換公司債(債券代碼：XS2195093674),
2618,長榮航,112/07/14,1,公告長榮航股份有限公司國內第五次無擔保轉換公司債(簡稱：長榮航五，代碼：26185)發行公司行使債券贖回權暨訂於112年08月29日終止櫃檯買賣等相關事宜。,
1609,大亞,112/07/14,2,公告本公司發行國內第四次無擔保轉換公司債轉換 價格之調整,
3701,大眾控,112/07/13,3,本公司國內第一次無擔保轉換公司債（簡稱：大眾控一 ，代碼：37011）於112年9月10日發行屆滿2年，債券持有人 得行使賣回權相關事宜。,
9958,世紀鋼,112/07/13,1,本公司國內第四次無擔保轉換公司債(世紀鋼四)到期還本暨 終止上櫃事宜,
4763,材料-KY,112/07/12,2,本公司可轉換公司債材料二KY(代號:47632) 近期達公布注意交易資訊標準， 故公告相關訊息，以利投資人區別瞭解,
代號,簡稱,日期,序號,主旨,
6706,惠特,112/07/12,1,公告本公司國內第一次無擔保轉換公司債轉換價格調整,
2630,亞航,112/07/12,1,本公司可轉換公司債亞航二(代號:26302)近期達公布注意交 易資訊標準，故公告相關訊息，以利投資人區別瞭解。,
1101,台泥,112/07/11,1,調整本公司110年度第一次海外無擔保可轉換公司債之轉換價格,
9958,世紀鋼,112/07/11,2,公告本公司國內第五次無擔保轉換公司債暨第六次無擔保 轉換公司債代收價款行庫及存儲專戶行庫,
5546,永固-KY,112/07/11,2,公告本公司訂定資本公積發放現金除息基準日 暨國內可轉換公司債停止轉換期間,
1436,華友聯,112/07/10,3,公告本公司國內第二次有擔保轉換公司債之轉換價格調整,
1436,華友聯,112/07/10,2,公告本公司國內第一次有擔保轉換公司債之轉換價格調整,
2317,鴻海,112/07/10,1,調整110年度海外第一次無擔保可轉換公司債之轉換價格,
3665,貿聯-KY,112/07/10,1,公告本公司海外第四次及第五次無擔保可轉換公司債停止轉換期間 及轉換價格調整,
8466,美吉吉-KY,112/07/10,2,公告本公司國內第二次無擔保轉換公司債代收價款行庫 及存儲專戶行庫,
代號,簡稱,日期,序號,主旨,
2034,允強,112/07/07,1,公告本公司發行國內第三次無擔保轉換公司債轉換價格之調整,
3092,鴻碩,112/07/06,3,本公司發行國內第二次無擔保可轉換公司債已依「境內企 業境外發行證券和上市管理試行辦法」進行備案,
6414,樺漢,112/07/06,5,董事會決議發行本公司國內第五次無擔保轉換公司債,
3701,大眾控,112/07/06,2,公告本公司112年現金增資認股基準日 暨轉換公司債停止轉換期間(補充公告現金增資發行價格),
4763,材料-KY,112/07/05,2,本公司可轉換公司債材料三KY(代號:47633) 近期達公布注意交易資訊標準， 故公告相關訊息，以利投資人區別瞭解,
4763,材料-KY,112/07/05,1,本公司可轉換公司債材料二KY(代號:47632) 近期達公布注意交易資訊標準， 故公告相關訊息，以利投資人區別瞭解,
2497,怡利電,112/07/05,1,公告本公司除息基準日暨可轉換公司債停止轉換期間,
6796,晉弘,112/07/05,4,公告本公司董事會決議發行國內第一次無擔保可轉換公司債,
3711,日月光投控,112/07/03,1,代子公司環誠科技有限公司公告處分環旭電子股份有限公司 無擔保可轉換公司債券,
5608,四維航,112/07/03,4,公告本公司國內第六次有擔保轉換公司債轉換價格調整,
代號,簡稱,日期,序號,主旨,
6282,康舒,112/07/03,1,公告本公司國內第一次及第二次無擔保轉換公司債 之轉換價格調整,
3092,鴻碩,112/07/03,1,公告本公司國內第二次無擔保轉換公司債收足債款,
3645,達邁,112/07/03,1,公告本公司除息基準日暨可轉換公司債停止轉換期間等相關事宜,
6706,惠特,112/06/30,1,公告本公司董事長訂定配息基準日及資本公積發放現金基準日暨 國內可轉換公司債停止轉換期間,
2618,長榮航,112/06/30,1,公告本公司第五次無擔保轉換公司債轉換普通股之 增資基準日,
1532,勤美,112/06/30,2,公告本公司國內第四次無擔保轉換公司債轉換價格調整,
6205,詮欣,112/06/29,2,本公司國內第三次無擔保轉換公司債轉換價格調整,
2618,長榮航,112/06/29,1,公告本公司國內第五次無擔保轉換公司債轉換價格調整,
8996,高力,112/06/26,5,公告本公司董事會決議發行國內第四次無擔保轉換公司債,
6477,安集,112/06/26,1,公告本公司除權、除息基準日等相關事宜暨轉換公司債 (安集三、安集四)停止轉換期間,
代號,簡稱,日期,序號,主旨,
1436,華友聯,112/06/26,1,公告本公司112年除息基準日及國內轉換公司債停止轉換期間,
4807,日成-KY,112/06/22,2,公告本公司國內第一次無擔保轉換公司債轉換價格調整事宜,
2748,雲品,112/06/21,1,本公司可轉換公司債雲品一(代號:27481) 近期達公布注 意交易資訊標準，故公告相關訊息以利投資人區別瞭解。,
2630,亞航,112/06/21,1,公告本公司國內第二次無擔保轉換公司債轉換價格調整。,
